,PERSON_ID,DISPLAY_LAST_COMMA_FIRST,ROSTERSTATUS,FROM_YEAR,TO_YEAR,PLAYERCODE,TEAM_ID,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CODE,GAMES_PLAYED_FLAG
2579,145,"Murray, Tracy",0,1992,2003,tracy_murray,0,,,,,Y
2580,77676,"Murrey, Dorie",0,1966,1971,HISTADD_dorie_murrey,0,,,,,Y
2581,203315,"Murry, Toure",0,2013,2014,toure_murry,0,,,,,Y
2582,203488,"Muscala, Mike",1,2013,2015,mike_muscala,1610612737,Atlanta,Hawks,ATL,hawks,Y
2583,77677,"Musi, Angelo",0,1946,1948,HISTADD_angelo_musi,0,,,,,Y
2584,1054,"Mustaf, Jerrod",0,1990,1993,HISTADD_jerrod_mustaf,0,,,,,Y
2585,87,"Mutombo, Dikembe",0,1991,2008,dikembe_mutombo,0,,,,,Y
2586,982,"Muursepp, Martin",0,1996,1997,HISTADD_martin_muursepp,0,,,,,Y
2587,939,"Myers, Pete",0,1986,1997,HISTADD_pete_myers,0,,,,,Y
2588,1823,"N'Diaye, Makhtar",0,1998,1998,tmp_makhtar_ndiaye,0,,,,,Y
2589,101238,"N'Dong, Boniface",0,2005,2005,boniface_ndong,0,,,,,Y
2590,2055,"N'diaye, Mamadou",0,2000,2004,mamadou_ndiaye,0,,,,,Y
2591,77681,"Naber, Bob",0,1952,1952,HISTADD_bob_naber,0,,,,,Y
2592,77682,"Nachamkin, Boris",0,1954,1954,HISTADD_boris_nachamkin,0,,,,,Y
2593,2411,"Nachbar, Bostjan",0,2002,2007,bostjan_nachbar,0,,,,,Y
2594,77683,"Nagel, Jerry",0,1949,1949,HISTADD_jerry_nagel,0,,,,,Y
2595,77684,"Nagy, Fred",0,1948,1948,HISTADD_fritz_nagy,0,,,,,Y
2596,1924,"Nailon, Lee",0,2000,2005,lee_nailon,0,,,,,Y
2597,2059,"Najera, Eduardo",0,2000,2011,eduardo_najera,0,,,,,Y
2598,77685,"Nance, Larry",0,1981,1993,HISTADD_larry_nance,0,,,,,Y
2599,1626204,"Nance Jr., Larry",1,2015,2015,larry_nance,1610612747,Los Angeles,Lakers,LAL,lakers,Y
2600,203894,"Napier, Shabazz",1,2014,2015,shabazz_napier,1610612753,Orlando,Magic,ORL,magic,Y
2601,77686,"Napolitano, Paul",0,1948,1948,HISTADD_paul_napolitano,0,,,,,N
2602,77688,"Nash, Bob",0,1972,1978,HISTADD_bob_nash,0,,,,,Y
2603,77687,"Nash, Charles",0,1964,1964,HISTADD_cotton_nash,0,,,,,Y
2604,959,"Nash, Steve",0,1996,2013,steve_nash,0,,,,,Y
2605,77689,"Nater, Swen",0,1976,1983,HISTADD_swen_nater,0,,,,,Y
2606,77690,"Nathan, Howard",0,1995,1995,HISTADD_howard_nathan,0,,,,,Y
2607,77691,"Natt, Calvin",0,1979,1989,HISTADD_calvin_natt,0,,,,,Y
2608,77692,"Natt, Kenny",0,1980,1984,HISTADD_kenny_natt,0,,,,,Y
2609,77693,"Naulls, Willie",0,1956,1965,HISTADD_willie_naulls,0,,,,,Y
2610,2434,"Navarro, Juan Carlos",0,2007,2007,europelive,0,,,,,Y
2611,202380,"Ndiaye, Hamady",0,2010,2013,hamady_ndiaye,0,,,,,Y
2612,77694,"Neal, Craig",0,1988,1990,HISTADD_craig_neal,0,,,,,Y
2613,202390,"Neal, Gary",1,2010,2015,gary_neal,1610612764,Washington,Wizards,WAS,wizards,Y
2614,77695,"Neal, Jim",0,1953,1954,HISTADD_jim_neal,0,,,,,Y
2615,77696,"Neal, Lloyd",0,1972,1978,HISTADD_lloyd_neal,0,,,,,Y
2616,77697,"Nealy, Ed",0,1982,1992,HISTADD_ed_nealy,0,,,,,Y
2617,203517,"Nedovic, Nemanja",0,2013,2013,nemanja_nedovic,0,,,,,Y
2618,77698,"Negratti, Al",0,1946,1946,HISTADD_al_negratti,0,,,,,Y
2619,77699,"Nelson, Barry",0,1971,1971,HISTADD_barry_nelson,0,,,,,Y
2620,201634,"Nelson, DeMarcus",0,2008,2008,demarcus_nelson,0,,,,,Y
2621,77700,"Nelson, Don",0,1962,1975,HISTADD_nellie_nelson,0,,,,,Y
2622,2749,"Nelson, Jameer",1,2004,2015,jameer_nelson,1610612743,Denver,Nuggets,DEN,nuggets,Y
2623,77701,"Nelson, Louie",0,1973,1977,HISTADD_sweets_nelson,0,,,,,Y
2624,1129,"Nembhard, Ruben",0,1996,1996,HISTADD_ruben_nembhard,0,,,,,Y
2625,1838,"Nesby, Tyrone",0,1998,2001,HISTADD_tyrone_nesby,0,,,,,Y
2626,77704,"Nessley, Martin",0,1987,1987,HISTADD_martin_nessley,0,,,,,Y
2627,1725,"Nesterovic, Rasho",0,1998,2009,radoslav_nesterovic,0,,,,,Y
2628,203526,"Neto, Raul",1,2015,2015,raulzinho_neto,1610612762,Utah,Jazz,UTA,jazz,Y
2629,77705,"Neumann, Johnny",0,1976,1977,HISTADD_johnny_neumann,0,,,,,Y
2630,77706,"Neumann, Paul",0,1961,1966,HISTADD_paul_neumann,0,,,,,Y
2631,77707,"Nevitt, Chuck",0,1982,1993,HISTADD_chuck_nevitt,0,,,,,Y
2632,1116,"Newbern, Melvin",0,1992,1992,HISTADD_melvin_newbern,0,,,,,Y
2633,1096,"Newbill, Ivano",0,1994,1997,HISTADD_ivano_newbill,0,,,,,Y
2634,1956,"Newble, Ira",0,2000,2007,ira_newble,0,,,,,Y
2635,77710,"Newlin, Mike",0,1971,1981,HISTADD_mike_newlin,0,,,,,Y
2636,271,"Newman, Johnny",0,1986,2001,HISTADD_johnny_newman,0,,,,,Y
2637,77712,"Newmark, Dave",0,1968,1969,HISTADD_dave_newmark,0,,,,,Y
2638,201193,"Nichols, Demetris",0,2007,2008,demetris_nichols,0,,,,,Y
2639,77713,"Nichols, Jack",0,1948,1957,HISTADD_jack_nichols,0,,,,,Y
2640,203094,"Nicholson, Andrew",1,2012,2015,andrew_nicholson,1610612753,Orlando,Magic,ORL,magic,Y
2641,1093,"Nickerson, Gaylon",0,1996,1996,gaylon_nickerson,0,,,,,Y
2642,77715,"Nicks, Carl",0,1980,1982,HISTADD_carl_nicks,0,,,,,Y
2643,77716,"Niemann, Rich",0,1968,1969,HISTADD_rich_niemann,0,,,,,Y
2644,77717,"Niemiera, John",0,1948,1949,HISTADD_richie_niemiera,0,,,,,Y
